 2015  510F 015 44.8 L  27.857  85.946  3.3FFGOR 3610.5                        1
                          84.7    51.6  0.0                                    E
 6                                                                             6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 LGUN     P        015 46.60                                                    
 LGUN     S        015 48.00                                                    
 GUN      P        015 46.60                                                    
 GUN      S        015 48.00                                                    
 JIRN     P        015 50.50                                                    
 JIRN     S        015 54.80                                                    
 LJIR     P        015 50.50                                                    
 LJIR     S        015 54.80                                                    
 LPKI     S        016  3.50                                                    
 PKI      P        015 55.40                                                    
 LPKI     P        015 55.40                                                    
 PKI      S        016  3.50                                                    
 PKIN     P        015 55.60                                                    
 PKIN     S        016  3.70                                                    
 DMG      P        015 55.80                                                    
 DMG      S        016  4.10                                                    
 KKN      P        015 56.20                                                    
 KKN      S        016  4.70                                                    
 LKKN     P        015 56.20                                                    
 LKKN     S        016  4.70                                                    
 EVN      P        015 59.60                                                    
 EVN      S        016 10.80                                                    
 DMN      P        015 59.80                                                    
 DMN      S        016 11.10                                                    
 LDMN     P        015 59.80                                                    
 LDMN     S        016 11.10                                                    
 RAMN     S        016 20.80                                                    
 LRAM     P        016  5.30                                                    
 LRAM     S        016 20.80                                                    
 RAMN     P        016  5.30                                                    
 GKNL     P        016  7.20                                                    
 GKNL     S        016 24.00                                                    
 GKN      P        016  7.20                                                    
 GKN      S        016 24.00                                                    
 ODAN     S        016 39.30                                                    
 LODA     P        016 15.90                                                    
 LODA     S        016 39.30                                                    
 ODAN     P        016 15.90                                                    
 LTAP     P        016 16.40                                                    
 LTAP     S        016 40.10                                                    
 TAPN     P        016 16.40                                                    
 TAPN     S        016 40.10                                                    
 DANN     S        016 49.20                                                    
 LDAN     S        016 49.20                                                    
 DANN     P        016 21.60                                                    
 LDAN     P        016 21.60                                                    
 LKOL     S        016 51.20                                                    
 KOLL     P        016 22.70                                                    
 KOLL     S        016 51.20                                                    
 LKOL     P        016 22.70                                                    
 LPYU     P        016 30.30                                                    
 LPYU     S        017  4.50                                                    
 PYUN     P        016 30.30                                                    
 PYUN     S        017  4.50                                                    
 HARN     P        016 46.50                                                    
 HARN     S        017 32.90                                                    
 BHMN     P        016 46.70                                                    
 BHMN     S        017 33.20                                                    
 GBAN     P        016 47.90                                                    
 GBAN     S        017 35.30                                                    
 GNKN     P        016 51.10                                                    
 GNKN     S        017 40.80                                                    
 PUSN     P        016 52.50                                                    
 PUSN     S        017 43.20                                                    
 BADN     P        016 53.30                                                    
 BADN     S        017 44.70                                                    
 BAYN     P        016 55.80                                                    
 BAYN     S        017 49.00                                                    
 GJRN     P        017  1.00                                                    
 GJRN     S        017 58.10                                                    
 GHAN     S        017 58.30                                                    
 GHAN     P        017  1.10                                                    
                                                                                
