 2015  424F 141 10.5 L  28.017  85.351  0.0FFGOR  5 2.0                        1
                          43.4    27.8 99.9                                    E
 6                                                                             6
 STAT SP IPHASW D HRMM SECON CODA AMPLIT PERI AZIMU VELO AIN AR TRES W  DIS CAZ7
 BADN     P        141 10.50                                                    
 BADN     S        141 10.50                                                    
 BAYN     P        141 10.50                                                    
 BAYN     S        141 10.50                                                    
 BHMN     P        141 10.50                                                    
 BHMN     S        141 10.50                                                    
 DANN     P        141 10.50                                                    
 DANN     S        141 10.50                                                    
 LDAN     P        141 10.50                                                    
 LDAN     S        141 10.50                                                    
 DMN      P        141 10.50                                                    
 DMN      S        141 10.50                                                    
 LDMN     P        141 10.50                                                    
 LDMN     S        141 10.50                                                    
 GBAN     P        141 10.50                                                    
 GBAN     S        141 10.50                                                    
 GHAN     P        141 10.50                                                    
 GHAN     S        141 10.50                                                    
 GJRN     P        141 10.50                                                    
 GJRN     S        141 10.50                                                    
 GKN      P        141 10.50                                                    
 GKN      S        141 10.50                                                    
 GKNL     P        141 10.50                                                    
 GKNL     S        141 10.50                                                    
 GNKN     P        141 10.50                                                    
 GNKN     S        141 10.50                                                    
 GUN      P        141 10.50                                                    
 GUN      S        141 10.50                                                    
 LGUN     P        141 10.50                                                    
 LGUN     S        141 10.50                                                    
 HARN     P        141 10.50                                                    
 HARN     S        141 10.50                                                    
 JIRN     P        141 10.50                                                    
 JIRN     S        141 10.50                                                    
 LJIR     P        141 10.50                                                    
 LJIR     S        141 10.50                                                    
 KKN      P        141 10.50                                                    
 KKN      S        141 10.50                                                    
 LKKN     P        141 10.50                                                    
 LKKN     S        141 10.50                                                    
 KOLL     P        141 10.50                                                    
 KOLL     S        141 10.50                                                    
 LKOL     P        141 10.50                                                    
 LKOL     S        141 10.50                                                    
 ODAN     P        141 10.50                                                    
 ODAN     S        141 10.50                                                    
 LODA     P        141 10.50                                                    
 LODA     S        141 10.50                                                    
 PKI      P        141 10.50                                                    
 PKI      S        141 10.50                                                    
 LPKI     P        141 10.50                                                    
 LPKI     S        141 10.50                                                    
 PKIN     P        141 10.50                                                    
 PKIN     S        141 10.50                                                    
 PUSN     P        141 10.50                                                    
 PUSN     S        141 10.50                                                    
 PYUN     P        141 10.50                                                    
 PYUN     S        141 10.50                                                    
 LPYU     P        141 10.50                                                    
 LPYU     S        141 10.50                                                    
 RAMN     P        141 10.50                                                    
 RAMN     S        141 10.50                                                    
 LRAM     P        141 10.50                                                    
 LRAM     S        141 10.50                                                    
 TAPN     P        141 10.50                                                    
 TAPN     S        141 10.50                                                    
 LTAP     P        141 10.50                                                    
 LTAP     S        141 10.50                                                    
 EVN      P        141 10.50                                                    
 EVN      S        141 10.50                                                    
 DMG      P        141 10.50                                                    
 DMG      S        141 10.50                                                    
                                                                                
